,text,DA
74464,{C And } I think it's kind of neat to be able to spend the afternoons with the kids occasionally too. /,S
74466,"{E I mean } usually, {D you know, } you go to work before they're awake or as they're getting, <clicking> up for school  /{C and } you get home  /{C and } it's already dark unless it's summer time, {D you know. }   /{C And } even in summer time,  sometimes you get home so late that [ there's, + ] {D you know, }  you can't do anything with them. /",S
74468,"{C And } especially in the winter.  {E I mean, } you [ g-, + ]  get up in the dark and come home in the dark <laughter> {D you know. }  /[ It's like, + it's like ] a vampire (( sometimes ))  # <laughter>. # /",S
74478,"{C Cause } I've been, {F uh, } - /especially in large corporations.  You can really, {D you know, }  wind up [ getting, + ] having, {D you know, } real problems I've found out.  /I've worked for a few, {D you know, } several thousand  plus, <clicking> {D you know, } type companies.",%
74480,"[ And it, + and especially ]  if you're doing like professional work.   Where [ i-, + ] {D you know, } it's kind of <clicking> <child_talking>   (( ethereal ))  as to what you're doing --",%
74482,"-- {D you know. }  /If you're, - /{D like } I've, - /I work with, {F uh, } computer systems a lot.  /{C So } it's kind of hard to say, {D you know. }  /If you're, {D you know, } a brick layer, somebody can look and see, {D you know, } {D well, }   {D yeah, }  you laid, {D you know, } fifteen thousand bricks today  /{C and } they were all  straight  /{C and } your building didn't fall down, {D you know } <clicking>.  /Yeah,  /you did a great job.   /{C But } if you build computer systems, {D like, } {D well, } {D you know, }  what does that computer program really do, {D you know. } Or, especially if  you write {D like } papers, # {D you know. } #",%
74484,Or do design studies or something.  /It's real hard to rate something like that. /,%
74486,"It's like get a painter, {D you know, } or something, a artist.  /It's like {D well } ((   ))  [ you, + ] how do you really rate, {D you know, }  Michelangelo, {D you know } <clicking>.  /How would you tell if he was, {D you know, } really good or so-so or  whatever </static>. /",S
74492,"{F Uh, } the, {F uh, } - /I'm very much [ a, + a ]  fan of sports cars. /",%
74502,"{C And, } {F uh, } {F uh, } {C so, } {F uh, } - /{C but } if I was to buy one, probably something like a Miata.  /It's certainly, - /i-, - /I wouldn't have to worry about it breaking down all the time <laughter>. /",%
74508,"{F Uh, } which is, {D you know, } # it's, - /it still works fine <laughter>. # /",S
74510,"{C But } [ [ it's, + it's ] + {D actually, } # it's ]  kind of annoying cause I've got no reason to replace it <laughter>. #/",S
74512,"{C But, } {F uh, }",%
74514,"{F Oh, } those are, - /they're about, {F uh, } {F uh, }  thirteen to fourteen thousand dollars and, {D you know, } a bit more if you add some some options #   and so on  /{C but } # --",%
74518,"-- [ [ [ [ they're, + they're, ] + they're, ] + they're ]  so nice to drive. /",%
74524,"And, {F uh, } very twisty stuff.  /{C And } {F oh, } it handles so nicely. /",%
74528,Yeah. /,B
74529,# Oh <pounding>. # /,B
74530,"# It # was just, - /[ it, + ]  it's just so smooth #  /{C and. } # -/",%
74541,"# {C And then, } #{F Oh, } I'd want a minivan # <laughter>. # /",S
74543,# {C Because } I'm # with the kids all the time. /,S
74546,-- perfect for that. /,%
74548,"# It's not, - /# [ it, + it's ]  small enough that it's easy to drive. /",%
74553,"{C But, } {D you know, } [ I, + I ] drive a little Subaru. /",S
74555,"<Swallowing> {C And, } {F uh, } [ we, + ]  I love that.  /I, - /we were going to trade that in for the van  /{C but } I just wanted to hold on to it  cause I just really enjoy that. /",S
74557,"{C And, } {F uh, } that's really all I needed was for something just to go here and there # and back. # /",S
74559,Uh-huh. /,B
74560,"{C And, } {F uh, } I've driven it a few times  /{C and, } {F uh, } [ i-, + ]  it's nice,  /it's nice.  /Of course, {D you know, } [ my fam-, + my family ] has always had cars like that.  {F Uh, } in that, {D you know, } my father's [ [ had a, + had a, ] + always  had a ] V W bus every since, {F uh } --",S
74562,"-- [ nine, + ] about nineteen sixty or so. /",%
74564,"{F Uh, } # {F uh, } # -/",%
74568,"-- like that cause [ he's, + he ]  goes to orchid shows [ and, + and, ] {D you know, } fills the car with plants.  And so on  /{C or }  ((   )) . -/",%
74570,Uh-huh. /,B
74571,"And pulled [ the, + {F uh, } the ] little trailer behind. /",%
74579,They're probably # <laughter>  ((   )) . # -/,%
74582,You can take your choice of how expensive  you <laughter> want it to be. /,S
74585,"By car.  /{C And so } that's the only time  [ that the, + that the, ] {F uh, } conversion van came in handy.  /{C But } it really didn't cause  [ our, + our ] kids are still little. /",%
74587,"{C So, } {F uh, } <lipsmack> that was the only time we really needed it.  /Other than that, it got terrible mileage  /{C and. } -/",S
74589,Yeah. /,B
74590,"{D You know, } [ twenty, + twenty, ] twenty-five miles per gallon or more. /",%
74592,Some of them probably even do thirty. /,S
74594,"The, {F uh, } - /yeah.  /[ There, + there's ]  some other cars I'd like  /{C but } [ I, + [ u-, u-, + ]  I ] would never be willing to send quite that much  money for, {F uh, } {D like, } {F uh, } {F uh, } - /I'll drool over them. /",%
74600,"It's, - /I like # the, # --",%
74606,"{E I mean } they might be able to,  {F ah, } say that anyone who does that, {F uh, } gets certain benefits that <throat_clearing> would not be available to someone who didn't do it.  /{C But } to use force, {F uh, } <swallowing> [ really sets us a, a, i-, i-, + ] essentially says that [ your body, + ] there's a title to your body and that title belongs to the government. /",S
74610,-- citizen. /,%
74612,"The idea itself of service is good  /{C and } when someone  is {D say, } out of high school and not sure about college or out of college and  not ready to go into a career and they're not committed to huge amounts of  debt, that's the best time to be able to do work that doesn't pay very well. /",S
74618,"{D You know, } if someone were studying something, ((   ))  take something obscure.   Somebody was studying  economics, the State Department  could offer to send them to the Soviet Union for two years to teach them how to run their country. /",S
74626,{C And } it's sort of a topic of debate. /,S
74630,{C And } the people who are proconstitution oppose it on the grounds that the government shouldn't even have the right to enforce  you to join the military # unless # --,S
74632,-- the United States is actually under attack <static>. /,%
74634,"{C So, } mostly, it's just kind of one of those things that goes away. /",S
74643,"Yeah,  /that seems, # - /normally that would interfere with college, I would think. # /",B
74644,"# Wait a, - /yeah.  /# Let me see if I can get on a  cleaner line.  /If it's my line, {F uh. } -/",%
74647,Oh. /,B
74652,"# {C And, } # of course, [ they're, + ]  this one the women would be equally grabbed  /{C and } they're almost on the verge of saying that [ you, + ]  if you're going to draft men, you're going to have to draft women.  /{C And }  you're going to have to put them in front of the guns just the same. /",S
74656,"-- {F uh, } {D you know, } be aware of that. /",%
74658,# Yeah. # /,B
74659,I'm not near that age <laughter>.  /I'm way over it #  /{C but } I # --,S
74668,"{C So, } it's another thing.  /When in doubt, don't trust the government at all <laughter>.  /It's really # reached # --",S
74670,-- that point. /,%
74672,"{D Hey, } you're in Perot country./I'm really thinking that this guy might be good for us. /",S
74677,"{C And, } {F uh, } he's very well known around here.  /# {C So. } # -/",S
74679,Uh-huh. /,B
74680,"They, {F uh, } - /[ I, + I ] have high hopes for him.  /{C And } I think that <laughter>, {D you know, } if he could get  people interested and encouraged and to believe that the government was actually for us, then I'm for him. /",%
74682,"# {E I mean } # in the Democratic primary, I'm going to  vote for Brown just because I kind of like Brown and his attitude.  /{C But }  [ when, + {F uh, } when ] it really  comes down in the fall, I think I know where it's going to go. /",S
74684,Uh-huh. /,B
74697,"Yeah.  /Is it, <noise> <<sounds like water  running and she is doing dishes>> - /I know in here, {F uh, } downtown Dallas, [ it's, + ] [ you, +  {E I mean } you ] drive by and [ you can just, + you can ] see it. /",B
74698,Uh-huh. /,B
74699,"{C But, } then again <throat_clearing> I originally was  from California  /{C and, } {F uh, } there is a big difference between Texas and California.  /# {C And, } {F uh } # --",S
74711,-- packing and getting ready to go #  (( to ))  # . -/,%
74714,"I was born in L A  /{C so } I know what you're talking  about.  /# In L A, it's pretty bad. # /",S
74716,"<breathing> {F Uh, } the worst city [ in the, + in the ]  world is actually, {F uh, } Mexico City. /",S
74722,The most polluted city in the world <laughter>. /,S
74724,#  ((   )) . #,%
74727,"<hum> Uh-huh.  /Yeah,  /I've seen that. /",B
74728,"{F Uh, } some things they do, [ w-,  w-, + ] one of them is they're using corn in fuel. /",S
74733,Huh.  /No <squeak>. /,B
74734,"Yeah.  /{D Well } that's big up here because [ of the, + ]  they grow a lot of corn <laughter>. /",B
74735,"{F Oh, } yeah  /# <laughter>. #",B
74738,"<swallowing> {F Uh, } that's one thing that they do./At that, it's pretty easy to do. /",S
74740,"{C And } the, {F uh, } - /unfortunately, it still contributes to global warming cause, you have to, {D you know, } wipe out forests to grow corn and # things like that. # /",%
74744,-- is corn. /,%
74748,"Drive cars with catalytic converters,",S
74752,"{C And, } {F uh, }",S
74756,-- that charges it.  /{C So } the engine kicks on  when the batteries need power  /{C and } it turns off. /,%
74758,"Interesting thing about [ gas is when, + ] {E I mean, }  about battery powered cars is when you're at a stop light, you're not using  [ any  <<mispronounced>> +  any ] energy </child_talking> </talking>. /",S
74760,# Unlike # a car where it's running. /,S
74762,A electric car it's on demand.  /{E I mean } it's either on or off. /,S
74766,You don't have to shift # <laughter>. # /,S
74770,-- of a sudden too. /,%
74775,Or something similar to that. /,%
74778,{C And } Ford and # General Motors and  all those compete. # /,S
74793,They should make it worthwhile. /,%
74796,"-- a good, # good # --",%
74798,-- vehicle. /,%
74803,"-- some days it's [ r-, + ]  very nice here downtown  /{C and } other days it's just really bad,  /{C so, } I don't know.  /{C So } [ what, + what ]  kinds of things did you experience in L A when you were there?  /{C Or } can you remember?  /Were you there at a? -/",%
74814,Yeah. /,B
74815,"I read somewhere that, the poodles is one of [ the, + the ] most intelligent dogs, {F uh, } around. /",S
74818,"{D Well, } about a year I guess. /",S
74824,Okay. /,B
74825,"It's, {F uh, } part Chow and part Shepherd  /{C and } it, - /as I understand it, {F uh, } both sides of the, were thoroughbreds. - /{C So, } she's a genuine  (( Chowperd )) . /",S
74831,"{C and } right from day one, she was teaching me./",S
74837,"{C But, } {F uh, } next morning, she let me know in no uncertain terms that she wanted to use the bathroom. /",S
